country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Pakistan;743k;1.7M;2.4M;5.02M;12.8M;34.5M;62.9M;88M;94.3M;99.2M;109M;120M;128M;136M;126M;136M;145M;154M;165M;
Panama;475k;526k;692k;1.26M;1.75M;2.17M;3.01M;3.92M;6.07M;6.65M;6.74M;6.21M;6.2M;6.91M;5.74M;5.14M;5.28M;5.72M;5.83M;
Peru;1.79M;2.31M;2.93M;4.09M;5.58M;9.12M;15.4M;21M;24.7M;29.1M;32.5M;29.4M;29.8M;31.9M;34.2M;36.9M;38.9M;42.2M;;
Philippines;12.2M;15.4M;22.5M;32.9M;34.8M;42.9M;57.3M;68.1M;75.6M;83.2M;94.2M;102M;103M;111M;118M;120M;120M;135M;167M;
Palau;;2460;3920;3920;6050;8350;10.7k;11.7k;12.7k;14.5k;15.4k;17.2k;17.9k;19.1k;23.7k;;;;;
Papua New Guinea;10.7k;15k;17.5k;48.3k;75k;100k;300k;874k;1.42M;1.91M;2.4M;2.71M;3M;3.36M;3.56M;3.78M;4.02M;;;
Poland;10M;13.9M;17.4M;23.1M;29.2M;36.7M;41.4M;43.9M;44.8M;47M;50.2M;54.1M;57M;56.9M;54.5M;53M;50.5M;48.3M;48.4M;
Puerto Rico;1.63M;1.65M;1.71M;1.85M;1.99M;2.2M;2.43M;2.54M;2.71M;2.93M;3.11M;3.05M;3.09M;3.21M;3.2M;3.25M;3.39M;3.33M;3.37M;
North Korea;0;0;0;0;0;0;0;0;69.3k;432k;1M;1.7M;2.42M;2.8M;3.24M;3.61M;3.81M;;;
Portugal;7.98M;8.67M;10M;10.6M;11.4M;12.2M;13.5M;14M;11.8M;12.2M;12.3M;11.9M;12M;11.9M;11.7M;11.6M;11.8M;11.9M;11.9M;
